p: 0.5,ibrida,arena: II;p: 0.5,alterazione,arena: I;p: 0.79,ripartizione,arena: I;p: 0.1,ibrida,arena: IV;p: 0.79,alterazione,arena: II;p: 0.5,ibrida,arena: III;p: 0.79,ibrida,arena: I;p: 0.5,alterazione,arena: IV;p: 0.1,alterazione,arena: III;p: 0.5,ibrida,arena: I;p: 0.79,ibrida,arena: II;p: 0.5,alterazione,arena: III;p: 0.1,ibrida,arena: I;p: 0.1,ripartizione,arena: II;p: 0.79,alterazione,arena: I;p: 0.1,ripartizione,arena: IV;p: 0.79,ripartizione,arena: IV;p: 0.79,ibrida,arena: IV;p: 0.1,ripartizione,arena: III;p: 0.1,alterazione,arena: IV;p: 0.5,alterazione,arena: II;p: 0.5,ripartizione,arena: IV;p: 0.79,ripartizione,arena: II;p: 0.1,ibrida,arena: III;p: 0.79,ripartizione,arena: III;p: 0.79,alterazione,arena: IV;p: 0.5,ripartizione,arena: III;p: 0.5,ibrida,arena: IV;p: 0.5,ripartizione,arena: I;p: 0.79,alterazione,arena: III;p: 0.1,alterazione,arena: II;p: 0.1,ibrida,arena: II;p: 0.1,ripartizione,arena: I;p: 0.5,ripartizione,arena: II;p: 0.79,ibrida,arena: III;p: 0.1,alterazione,arena: I
46.7237;82.3981;83.3655;4.8243;0.0;53.8966;83.3356;1.2005;54.6535;0.1217;23.6047;4.7;82.6353;14.7682;82.1213;109.4995;50.1177;0.1786;129.5956;108.7264;51.9444;51.1576;0.0;151.9751;0.2354;50.0;50.0;46.5931;31.3456;10.602;55.4787;20.6646;82.3436;10.8465;66.4409;80.8221
17.7477;81.0829;83.3499;50.0;0.0;50.5908;83.3463;7.6976;12.4402;0.1217;11.5921;63.2463;82.8098;9.24;79.8525;110.2087;0.1178;0.0938;121.2188;107.7329;68.7358;76.412;0.0;159.5112;0.1882;50.0;50.0;52.2483;28.6798;6.5349;13.0692;11.4863;79.938;14.8541;68.9194;82.8162
1.5558;80.7177;0.0;48.0459;0.0;42.5862;2.5034;0.0;56.5912;35.7982;11.255;4.7928;83.8732;18.4619;81.3004;75.9473;50.1175;57.7137;6.1821;37.074;57.4263;85.4716;12.8129;219.9872;0.2357;3.2071;8.0716;3.7588;0.2428;4.1647;0.1215;0.1081;82.6784;58.1571;5.4756;81.3254
3.0088;81.6428;0.0;44.6245;0.0;92.7205;1.1506;0.0;0.942;35.4917;5.4098;55.805;81.9298;4.753;81.7461;73.5523;0.0;71.9124;56.8474;56.1216;32.8972;107.078;9.9811;86.5555;0.2364;51.4709;50.0;6.802;0.001;60.2948;0.1218;6.6752;81.086;19.3087;3.0355;82.8725
1.1904;7.5669;83.7235;50.0934;0.0;50.3539;8.3873;23.0824;222.9837;0.0;16.0756;158.0982;84.6664;23.0647;10.5001;67.7728;56.2041;0.2158;58.7468;96.5923;0.1252;85.918;0.0;110.6257;50.7094;55.3906;44.6945;76.8618;30.3629;0.0;0.0;29.6976;81.7653;12.5714;68.6485;83.1419
0.8396;6.6042;83.0901;29.3453;0.2431;5.5172;1.4963;54.8202;169.6932;0.0;20.4913;209.5169;79.9196;9.0946;4.6034;103.4356;50.8255;0.3309;3.4465;104.0501;8.065;3.7729;0.4222;259.4964;0.7069;0.8257;103.445;15.6262;28.0898;0.0;0.0;15.1164;81.805;11.1898;45.2486;80.3566
53.4446;83.2696;1.914;46.6736;1.7872;0.0;83.6025;46.2865;5.8649;0.0;8.091;117.4481;0.0;18.6443;82.169;15.3082;0.1186;0.2383;95.5442;50.1177;7.663;42.3392;1.4975;221.815;0.826;53.643;65.9656;155.6624;5.9804;4.538;0.1214;3.3755;80.9402;11.0515;36.3625;79.3008
55.5175;83.6958;9.2113;32.3857;2.4004;2.0729;82.7878;39.9966;51.5386;0.0;16.4702;121.8691;0.0;13.1628;82.2828;66.2485;0.0288;0.2364;208.8318;50.1176;18.598;78.4682;23.511;13.4313;1.538;53.6418;90.8367;149.882;28.812;4.8197;0.0;15.8603;82.4069;22.0517;3.4041;78.3152
11.079;82.0501;0.0;89.451;0.0;50.2364;8.017;50.3672;221.1678;51.9742;66.7591;140.2085;81.2214;25.5076;80.7665;122.3651;50.1183;50.0;8.102;48.7609;0.537;0.1178;16.18;113.4678;72.752;155.7997;50.0;47.3957;83.4845;0.0;2.0252;0.5243;82.0448;5.03;0.5886;82.7138
14.4186;83.4192;0.0;43.353;0.1015;22.0809;7.801;102.9969;270.7683;47.7883;58.5872;127.0703;84.4596;19.8373;81.1153;118.4068;0.5263;0.0;2.0185;45.3395;5.7574;0.0842;16.6153;156.8603;68.7557;59.8775;65.2189;55.6651;83.5947;0.0;6.7716;0.3887;84.2177;0.4511;1.17;80.7245
1.1328;78.4889;0.0;50.9315;0.3149;28.9814;3.2614;65.7996;3.1416;65.7458;60.4466;10.2546;84.4019;24.5085;2.0572;0.0;53.4352;1.0649;157.4627;106.0714;28.283;12.8899;0.0;213.129;107.2231;50.0;50.0;52.628;81.6407;31.0211;0.099;26.8629;82.8172;10.5522;3.1829;82.0299
5.7481;78.2415;0.0176;23.8013;0.0;28.784;3.4285;68.551;115.8483;67.3058;66.1884;3.7219;80.0118;9.1489;0.428;0.0;50.2352;52.3836;247.4713;106.0677;27.1928;1.3195;0.0;159.8217;60.3742;2.3527;9.1805;98.5621;83.8848;93.515;0.1216;20.7546;82.7362;13.0781;1.2285;84.4556
16.5757;75.6067;83.5659;61.4906;0.3632;87.4721;82.8881;1.1949;49.8755;7.1383;63.2069;98.2173;81.1517;19.2759;0.0;116.2225;0.0;50.0;100.9591;109.4671;18.8107;78.0145;1.6423;206.3783;106.7655;50.0;66.6432;54.3799;82.8248;254.864;5.0351;15.6785;82.8413;12.6347;53.4242;84.4842
10.8927;80.0186;82.4265;47.9147;8.515;39.6424;84.0505;2.6143;3.9553;0.9285;39.0672;68.1554;81.4096;19.224;0.0;66.1303;0.0;0.0;198.6123;61.7936;26.9893;74.4901;2.8431;64.8196;107.8943;0.0;50.5433;102.127;83.5402;142.4578;10.3957;5.246;84.1694;31.1112;71.856;80.284
9.4279;7.8206;0.466;58.3081;0.1181;13.6297;81.4957;51.1799;116.3785;0.6653;0.0;65.8129;0.0;6.9996;0.0;78.9577;50.119;25.6708;167.3083;54.2572;30.6459;42.8145;20.503;11.3038;108.5454;87.2453;57.8948;52.9301;38.1495;0.0;3.321;20.4161;84.0382;0.4856;76.2469;83.0223
4.538;3.365;0.1064;0.538;0.6535;17.4327;82.1919;1.0381;168.3754;0.2434;0.0;24.5355;0.0;12.7869;0.0;111.4686;4.7482;67.0747;147.8638;61.4269;64.8465;129.3854;15.3135;158.5007;110.3944;56.3938;64.6703;155.1384;41.1335;0.0;13.7108;18.0801;81.0291;13.9717;96.7785;81.7896
27.7072;79.613;0.105;1.2223;40.8007;113.3808;83.6932;0.6345;130.9239;2.4605;14.6574;89.3124;84.4265;21.5119;11.6174;48.4129;50.0;0.0;193.4991;84.7918;2.2232;0.0;0.0;117.2196;108.8362;0.0;111.0812;14.2636;83.8572;196.0127;4.3444;50.2502;8.6034;70.5875;101.4083;82.4091
15.8968;77.1592;0.0;54.2916;35.3659;117.0354;84.1596;96.0476;121.8179;2.3018;3.1101;60.4813;84.3638;39.3401;6.6959;95.4989;0.0;0.0;68.7036;56.9988;12.5605;0.0;0.0;111.8138;106.5785;0.0;114.9305;2.3955;82.6767;181.7109;2.6925;42.5498;6.1066;67.0085;3.9236;83.3639
